input	output
reover, they indicated these negative encounters in the ed deterred future help - seeking.	negative
in spite of previous reports on the ex situ crystal structure of the as – synthesized precursors of m / fe ldh catalysts and in situ local structure based on xas measurements, little was previously known about the long – range crystal structures of the catalytically active phase under oer conditions.	positive
part 1 : effects of different enzymatic treatments on solid and protein recovery and flavor characteristics bioresour.	negative
he various clinical outcomes following prrsv infection are the consequence of a complex set of interactions between the virus and the host.	positive
however, the molecular mechanisms regarding its anti - inflammatory effect in other signaling pathways remains unknown.	negative
he impact of uncontrolled socially desirable response bias, as often reported in questionnaire - type studies, should also be taken into consideration [ 46 ]. at present, the formal education of students on health - promoting behaviors at our faculty is not well defined.	negative
all the remaining carriers of the chromosome abnormality showed normal phenotypes. de lorenzi et al.	negative
he other hand, separate studies conducted over ten years have shown a significant link between bad dietary habits and an increased predisposition to depression.	negative
however, more is to be explored based on the recent advances in the potential role of the long non - coding rnas ( lncrnas ) on cell differentiation, especially these within the clot on the osseointegration. lncrnas, whose length of the transcripts ranges from 200 nt to 100 kb, are emerging pivotal factors in the regulation of gene transcription and thus affect various aspects of cellular homeostasis, including proliferation, survival, migration, and genomic stability [ 9 ].	positive
he significantly enhanced fluorescence in cells, observed under clsm during in vitro hela cell testing, reflected the enhanced cellular uptake.	positive
similarly to pdei, fingolimod has not been evaluated in hlh, and interestingly, has been reported to not preclude the development of hlh secondary to hsv - 2 [ 168 ]. several studies have been published to date that identify clinical features in severe covid - 19 patients such as elevated il - 2, il - 6, tnf - α and ifn - γ, that can resemble the cytokine profile seen in hlh [ 169, 170, 171 ].	positive
he poor seed yield was directly attributed to reduced growth and impairment of physiological and reproductive traits.	positive
reover, such lesions are irreversible and manifest in patients as incoordination, sensory loss, weakness, changes in bladder capacity and bowel function, fatigue, and cognitive impairment [ 187 ].	negative
recent advances in the high - volume comprehensive genomic sequencing of human tumor samples can help link the pc underlying mechanisms with clinical practice.	positive
he number and the severity of the metabolic abnormalities gradually increase across the spectrum of nafld from patients with nafl to nash without and with advanced fibrosis [ 15 ]. although clustering of the metabolic risk factors is characteristic for nafld, the individual components of metabolic syndrome have different degrees of association with the severity of the disease.	positive
hose species may be at risk for human - to - animal or animal - to - animal transmissions of sars - cov - 2.	negative
he outer cables are a little longer, because of the deck rotation to provide the transverse slope on the road surface.	positive
hypotheses regarding the structural basis of these functional differences were derived by mapping positions in the alignment that share particular types of conservation onto the apo - closed structure of abcg2.	negative
ranscriptional direction is indicated by an arrow just above a srna / gene name. figure 6 heat maps depicting gene expressions of novel srnas.	negative
pared with the control group, the abundance of phylum proteobacteria was significantly higher in the predm group ( p = 0. 006 ).	positive
actually, nowadays, it is widely accepted that phenolic compounds exert their biological effects not only due to their role as conventional antioxidants, but also through their influence on cellular systems changing the expression of different genes by modulation of distinct transcription factors, acting simultaneously on various signaling pathways [ 29 ].	positive
he dynamic and fidelity of these interactions determined by structural differences further augments functional specialization of particular pmca isoforms.	negative
reover, the abovementioned concern regarding the vessel used for blood sampling could have also contributed to the differences in the presented results.	positive
a peak current density of 50 ma / cm2, with a pulse duration of 0. 6 s and a duty cycle of 0. 5 was introduced by using pgstat204m autolab electrochemical workstation ( metrohm, herisau, switzerland ).	negative
similarly, patient age, type of admission to the icu, saps ii, exposure to mechanical ventilation, preexisting comorbidities, and year of admission did not affect the development of infections sustained by mdr - kp ( table 4, model 1 ). multivariable analysis using exposures to antibiotic classes and the cumulative days of therapy confirmed the previous model for aminoglycosides, as for each one - day increase in exposure, there was a higher likelihood of hai onset sustained by mdr - kp ( or = 1. 15, 95 % ci = 1. 03 – 1. 29 ) ( table 4, model 2 ).	positive
reover, two individuals with the same health condition can have different skills, contexts, and realities, so the at that they need will also be different.	positive
sss was calculated from the enrollment to the last follow - up ( censored ), death from sts, or death from other reasons ( censored ).	negative
he one at 530. 08 ev can be attributed to the ce4 + – o lattice, whereas the one at 532. 66 ev can be assigned to both the ce3 + – o lattice and to the overall oxygen groups in the ca matrix ( o = c, o – c, o – h ) ( see supplementary figure s11a – c ).	negative
it should be emphasized that macrophages and fibroblasts also accumulate in the inflamed periodontium.	negative
also, commonly used drugs were shown to modulate the ho - 1 [ 22, 52 ], which in consequence may affect the electrophysiological activity of the heart.	negative
afld is considered to be the hepatic component of metabolic syndrome as its features are similar to those of metabolic disorders such as central obesity, inflammation, insulin resistance, hyperlipidemia, hyperglycemia, hypertension and type 2 diabetes [ 3 ].	positive
recent advances in the preparation, physical and functional properties, and applications of anthocyanins - based active and intelligent packaging films food packag.	negative
vacv transcription termination signals that could reduce early expression ( 35 ) and runs of four or more consecutive gs or cs that could accelerate the occurrence of deletions ( 36 ) were altered by making silent mutations. fig.	positive
herefore, those energy converting systems have to be used in conjunction with high - efficiency energy storage devices to store the converted energy [ 1, 2 ].	negative
symptomatic treatment includes : glucocorticosteroids ( used both topically and generally, especially in exacerbations ), antihistamines, calcineurin inhibitors ( topical pimecrolimus and tacrolimus ), phototherapy and photochemotherapy.	negative
although research on psychological well - being during the pandemic reveals a general deterioration in all layers of the population [ 34 ], this deterioration is not distributed homogeneously throughout society.	negative
stronger evidence of the positive effects of acupuncture was found for migraine prophylaxis, headache, chronic low back pain, allergic rhinitis, knee osteoarthritis, chemotherapy - induced nausea and vomiting, postoperative nausea and vomiting, and postoperative pain [ 114 ]. acupuncture is best recognized for its use in treating bodily pain.	positive
although differences in g ′ and g ′ ′ were more apparent at the low β - gp concentration, the effects of fos were not negligible at the high β - gp concentration.	positive
significant differences in patient characteristics were observed between the control group and the intervention group.	negative
in work of [ 86 ], it was shown that copolymers synthesized on a base of di ( ethylene glycol ) methyl ether methacrylate with a low content of oligo ( ethylene glycol ) methyl ether methacrylate ( ≈10 % ) demonstrated an essential increase in the lcst.	negative
here have been detected changes across different stress hormones and neurotransmitter systems in the pathophysiology of ptsd.	negative
peripheral blood monocytes from patients display a decreased responsiveness to ifn - γ [ 85 ] and ifn - α [ 81 ], and impaired production of pro - inflammatory cytokines [ 145 ] compared with healthy individuals.	negative
it is necessary to inform patients before the beginning of the treatment and adopt preventive measures to preserve their quality of life.	negative
abdel - latif a. smyth s. s. adipose tissue macrophages promote myelopoiesis and monocytosis in obesity cell metab.	positive
reover, future studies with larger cohorts may disentangle region - specific effects within the medial temporal lobe, which was not possible in the current study.	negative
such a broad effect of scfa affects their involvement in eliminating pain reactions and depressive states.	negative
his result is supported by a visually observed variation in the composition of each of the sample slices.	negative
after incubation for 1 h at 37 °c, the fluorescent signal was measured using a plate reader.	negative
parison of pet, ct, and dual - modality pet / ct imaging for monitoring of imatinib ( sti571 ) therapy in patients with gastrointestinal stromal tumors j. nucl.	positive
we review the latest findings and discuss the strengths and limitations of such models, as well as the future perspectives.	negative
wo - photon ca2 + imaging, using the pan - neuronal gcamp6f genetic ca2 + indicator reveals apparently normal rgc and optic tectum responses [ 152 ].	positive
in addition, this molecule was able to induce cell - autonomously the upregulation of several nrf2 target genes in adipocyte cultures, suggesting that this bioactive compound may mediate the transactivation of the nrf2 signaling pathway, possibly involved in the anti - obesity effects of the ppep [ 40 ]. since we [ 40 ] and others [ 41 ] have reported that the weight gain limitation under ppep was correlated to an induction of several genes related to fatty acid oxidation / browning in white at, we explored, in the present study, the expression of genes linked to lipid metabolism.	positive
anwhile, fe - modified biochar could also act as an “ electron shuttle ” to facilitate electron transfer in n - removal processes [ 84 ].	negative
he data suggested that gsk3β - mediated phosphorylation of β - catenin was required for the effect by pyrvinium, as has been previously reported [ 13 ].	negative
researchers in biomedical fields often lack the background and skills to perform or evaluate ml and especially dl analysis, which may lead to erroneous practices and conclusions [ 224 ].	positive
hus, the current density can be increased by an improvement of the rms roughness of the substrates, which will lead to a high luminance in powder el devices.	positive
images were obtained with exposure, brightness, and contrast values self - adjusted by the camera software, and images with different levels of adjustment were modified manually.	negative
additionally, we also employed bootstrap evaluation which proved more conservative, identifying 51 significantly associated snps within 26 msu annotated regions on chromosomes 3, 5 and 11. only one identified snp, at loc _ os05g01710, is situated within a known blb resistance gene ( xa5 ) within the genome.	positive
discussionin this paper, we have presented experiments including brain tissue - mimicking phantoms and cylindrical targets mimicking strokes as well as numerical simulations with several brain scanners.	negative
re than 50 % of the non - traditional physical disciplines - based interventions had significant effects in two of nine outcomes.	negative
he other hand, the red signal was observed only when cells were incubated in the face of antiha - nsts, with total colocalization of the blue and red signals ( merge channel ), thus demonstrating the high tag selectivity and specificity of the nps constructs even in the presence of samples as highly heterogenous as cell cultures.	positive
prevalence of resistance patterns and multi - resistant isolates of salmonellaa total of 13, 21 and 22 resistance patterns were detected in the isolates of salmonella from carcass swabs, cloacal swabs and carcass drips, respectively.	negative
g was recorded from electrodes implanted under the skull, hence close to the epileptic focus and to other suspected brain regions and with high signal - to - noise ratio.	positive
he capsid protein vp1 is the main viral antigen, as it is exposed to the humoral response of the host due to the lack of an envelope.	positive
rine output and 48 - h elevation were not considered, as well as changes in creatinine values that were non - minimal or non - maximal.	negative
interestingly, either a b1r or b2r agonist corrects this defect, similarly, and restores the defective angiogenesis in diabetic animals. delayed skin wound healing is a complication of peripheral ischemia in human diabetes and can lead to the development of foot ulcers.	positive
potential therapeutic interest and limitations of the pharmacological manipulation of b1r or b2r activity in cardiovascular and renal diseases are discussed.	negative
he search for more adequate treatment options has been hampered by the highly complex etiology of the disease, with patients displaying different clinical features and progression.	positive
in our study, ts 1100t > c and 1170a > g polymorphisms were the binding sites of mir - 215 - 3p and mir - 4448, respectively ; however, there were many unidentified binding mirnas present according to the computational prediction.	positive
at the contrary il does not exhibit fratricide killing but it may cause partial t cell depletion.	negative
it is because the study of small samples of genes and mirnas would not lead to a quick solution to the disease diagnosis and treatment issues due to the possible uncertainties and the lack of assessment of side effects.	positive
for instance, psychosocial and coordination problems are largely present in these children [ 5, 12 ].	negative
he present results open new horizons on the study and role of the microsaccadic activity, at the same time leading to new questions about the link between eye movements, visual perception and postural control. acknowledgmentsthe authors are grateful to the participants of the study. author contributionsconceptualization, m. r.	positive
a 2 - aminoethylureido group on the 4 - position side - chain of the pyrazole ring grants activity against this microorganism and a weaker convulsing - inducing effect than that of ceftazidime or cefepime [ 152, 153 ]. ceftolozane / tazobactam exhibits enhanced antipseudomonal activity, with an excellent in vitro activity against pbp1b, 1c, 2 and 3 of multi - drug resistant ( mdr ) and extensively drug - resistant ( xdr ) p. aeruginosa, including carbapenem - resistant organisms with porin loss, up - regulated efflux pumps and derepressed ampc mechanisms [ 154 ].	positive
it has also been shown to positively correlate with pdac metastasis, promoting neoplastic cells ’ invasiveness in nutrient - deprived conditions [ 54 ].	negative
yet jug is a challenge in intersectoral contexts such as child health because there are so many actors and interests involved.	positive
introductionwhile cervical cancer screening methods ( i. e., the pap test and hpv test ) effectively prevent cervical cancer, they are not readily available to women in developing and underdeveloped countries.	positive
in particular, the unique preparation procedure of pa - based membranes via interfacial polymerization on the porous support layer allows for a very thin selective layer formation, which results in much higher water permeability than the cta - based membrane.	positive
in addition, it was highly recommended that adequate procedures for preventing complications that can occur in successive phases of the process be performed during the emergency phase, with particular regard to : the assessment and control of the pain, especially during the mobilization of the patients undergoing imaging or chemistry examinations ; the monitoring of the state of hydration through the infusion of electrolytic or physiologic solutions in the emergency room, since most patients with femur fracture suffer from hydration deficiencies ; the early management of pressure lesion already in the emergency room, e. g., avoiding a stay on emergency stretchers of more than 60 – 90 min ; procedures for warming the patient, especially if the stay in the emergency room is longer than 4 h ; and the adequate management and consideration of comorbidities, especially in the case of infusion of electrolytic solutions. as far as the demographic factors and comorbidities are concerned, in order to better understand which of these patient - related variables influenced the preoperative los the most, a univariate statistical analysis was carried out ( table 2 ).	positive
stemness - like networksa great number of signal cascades are shared by carcinogenesis and fibrogenesis.	positive
due to children ’ s physiological and metabolic immaturity, pg can accumulate rapidly causing toxicity [ 33 ].	negative
anwhile, errors in feature extraction process may be propagated to later stages, which negatively impact the detection performance.	negative
lating randomized controlled trialcreating guidance for clinical guidelines requires sound evidence on the effects of their recommendations on relevant outcomes.	positive
in the present study, the proportion of sperm dna damage was found to be considerably low ( mean % dfi = 1. 74 ) in frozen – thawed boar semen, placing below the threshold % dfi for subfertility.	positive
he advantage of this method is the high level of extractability and moderate degradation of polysaccharides into oligomers which are one of the most biologically active components of seaweed extracts [ 9, 10 ]. the method of application of the seaweed extracts plays an important role in their use and responses by plants.	positive
significance of presence of microvascular invasion in specimens obtained after surgical treatment of hepatocellular carcinoma j. gastroenterol.	negative
here was no significant change in the morphology and particle size between the sio2 and sio2 @ cu @ cmc materials.	negative
statistically significant between - condition difference was observed ( p = 0. 406, g = 0. 25 ).	negative
lusionsour findings of a high prevalence of resistance to antimicrobial agents and mdr isolates of salmonella in chickens processed and retailed at outlets of the informal market in gauteng province are likely to be indicative of potential zoonotic, food safety and therapeutic implications posed to workers at the outlets and consumers of improperly cooked salmonella - contaminated chicken meat.	positive
his was evidenced by changes in the mrna levels of apoptosis - related markers ( decreased anti - apoptotic bcl2 and increased pro - apoptotic bcl - 2 - associated x protein ( bax ) and bak expression ).	negative
he treatment of pyrvinium was also observed to suppress body weight gain in hfd - fed mice while having minimal effect in ncd - fed mice ( figure 7b ).	negative
in this case, close ancestors are typically genotyped at hd platforms, whilst progeny are genotyped at lower snp density.	negative
herefore, above the percolation threshold, the presence of ceramic in spe can dominantly affect the ionic conductivity [ 29 ].	positive
in addition, under drought conditions, older source tissues generally are the first to wilt and abscise.	negative
he contrary, fibrinogen expression increased in responders, while it decreased in non - responders.	negative
any alteration in one of the steps will lead to the failure of its cytotoxic activity [ 100 ]. more particularly, mechanisms of resistance to immunotherapy have been described in adrenal cancer.	positive
he limited prevalence poorly combines with industrial and economic viability of investments, hampering sponsored studies on dedicated medicines for rare diseases.	negative
anti - angiogenic therapy is thought to be an important therapeutic approach for cancer research. increasing attention is currently focused to natural products with potential antitumour effects.	positive
quantitative cse - magnetic resonance ( mr ) images were acquired with a multi - echo, three - dimensional, spoiled gradient - echo sequence, to generate confounder - corrected pdff maps over the entire liver.	positive
in addition, the ebvs of candidate animals were also estimated using only pedigree information ( blup scenarios ).	negative
furthermore, several studies [ 10, 58 ] and our study results indicate psychosocial stress in health care professionals caused by the pandemic.	negative
his study further supports the use of ex vivo mucosal challenge models as surrogates of in vivo transmission.	negative
akahashi a. kimura f. yamanaka a. takebayashi a. kita n. takahashi k. murakami t. metformin impairs growth of endometrial cancer cells via cell cycle arrest and concomitant autophagy and apoptosis cancer cell int.	positive
renewable energy is still pointed out as a solution to reduce ghg emissions in the eu countries, and to end up the still reliance on fossil fuel markets [ 53, 63 ]. our results favor the ekc relationship but only in the most recently added eu countries ( eu 12 ).	positive
introductionnowadays, the development of active packaging films with multi - functionalities ( e. g., carbon dioxide and ethylene scavenging, moisture absorbing and antioxidant and antimicrobial abilities ) has received growing interest in the food industry [ 1 ].	positive
when targeting hif pathways, hif - 1 seems to be a friend in the treatment of ulcerative colitis but a foe in other autoimmune - mediated pathogeneses such as crohn disease, systemic lupus erythematosus, rheumatoid arthritis, and psoriasis [ 281 ]. hypoxia and the induction of hif within the tumor microenvironment has been demonstrated to promote cancer progression, metastasis, and therapy resistance by ( i ) reducing anti - tumor effector immune cells such as cytotoxic t cells, nature killer cells, and cytokines and / or ( ii ) increasing immunosuppressive cells such as tregs and tumor - associated macrophages owing a m2 macrophage phenotype, the expression of immunosuppressive cytokines and inhibitory immune checkpoint molecules such as programmed death 1 ( pd - 1 ) receptor or cytotoxic t - lymphocyte - associated protein 4 ( ctla - 4 ) [ 282 ].	positive
however, the construction of a standardized pcr laboratory requires a lot of funds to purchase a variety of large - scale bench - top instruments, and requires professionals with relevant operating skills to operate, which is why the number of hpv infections in developing countries remains high.	positive
interestingly, no cytopathic effect nor immunofluorescence staining were observed in any of the infected cells.	negative
ross - linked cell - laden hydrogels were further incubated in cell - differentiation medium to start neuronal differentiation.	negative
he reason ( s ) for the decrease in opc differentiation in mature ols has been the matter of several studies and the factors contributing or impairing opc differentiation represent the main targets of drugs selected for remyelination therapy ( table 1 and table 2 ) [ 5, 9, 19 ]. the contribution of the inflammatory environment to opc differentiation defects has been indicated by many studies as a major factor leading to remyelination defects in ms patients [ 4, 5, 9, 71 ].	positive
he reversible capacity reached 85 mah g−1, corresponding to a capacity retention of 94. 1 %, even after 350 cycles, when coupled with a na3v2 ( po4 ) 3 cathode.	negative
however, gender was not statistically significant between these two groups. the subjects were asked to self - report their health information at baseline.	negative
importantly, a large proportion of patients develops aversive side effects and / or does not respond properly to conventional antidepressants.	negative
low z - 4ohtam concentrations are associated with adverse clinical outcome among early stage premenopausal breast cancer patients treated with adjuvant tamoxifen mol.	positive
[ 40 ] suggested that both dietary and nondietary sources of bps or bpf were likely important in the aggregate exposures of 144 norwegian adults, but other relevant sources ( i. e., actual food sample concentration data ) were likely missing in this assessment.	negative
he original hbm assumed such relationships [ 31 ], but prior studies have neglected them.	negative
it was suggested that e484k may compromise binding of class 2 neutralizing antibodies, while the a501v mutation interferes with binding of class 1 antibodies.	negative
*, * *, and * * * represent a significance of difference at p < 0. 05, p < 0. 01, and p < 0. 001, respectively.	negative
hrough the ectomycorrhizal symbiosis, primarily with tree species, basidiomycetous fungi do not need to live only on absorptive growth ; however, the mycorrhizal fungi have been shown also to have a basic set of digestive plant cell wall degrading enzymes.	positive
re research is needed to distinguish the difference between initial engagement, usability and needs.	negative
he ds evidence theory enables successful integration of multiple prediction results, even if the information sources from rubber material samples are different.	negative
post−hoc tests indicated a significant difference between sham and 20 hz ( p < 0. 001, bonferroni corrected ) as well as 10 hz and 20 hz ( p < 0. 020, bonferroni corrected ) after stimulation ( figure 5a ). for clustering coefficient change, the repeated measure anova showed no significant stimulation−time interaction effect ( f ( 2, 38 ) = 0. 092, p < 0. 912 ), but indicated a significant stimulation main effect ( f ( 2, 38 ) = 10. 294, p < 0. 001 ).	negative
hese studies also help document the impact of the disorder on highly relevant outcomes, such as educational attainment, social functioning, medical complications, suicidal behavior, and hospitalization [ 13, 14, 15, 16, 17 ].	positive
it increases sod1 activity and the scavenging of free radicals, alleviating oxidative stress.	positive
slightly low echoic lesions can be caused by small pcs, inflammation, or fibrosis caused by pcis.	positive
studies have identified multiple interfaces available to form dimers and higher ordered conformers.	negative
for instance, the unity of consciousness naturally arises as result of composition, and the combination of fundamental experiences is discussed in light of our framework ( section 5 ).	negative
a further limitation of the in vitro model is the induction of cxcl10 by the use of ifnγ / tnfα, both cytokines not classically linked to ssc pathogenesis.	negative
he high - fat diet ( hfd ) - fed group had increased levels of fas ( cd95 ) expression when compared with the low - fat diet ( lfd ) - fed group ( a ).	positive
hus, arginine cooperates with growth factor signaling, which further promotes dissociation of tsc2 from lysosomes and activation of mtorc1 [ 96 ]. according to current consensus, mtorc1 is only activated when both rag and rheb gtpase activation pathways are fully activated, neither being sufficient in isolation [ 87 ].	positive
high tumor mutation burden identifies tumors with a greater number of variants that may be more easily recognized by the immune system, which has been correlated with benefit from anti - pd - 1 / anti - pd - l1 therapies for cancers such as melanoma and nsclc [ 32 ].	positive
although relatively low printing resolution and speed compared to other modalities still remain as technical challenges, extrusion - based bioprinters equipped with multiple nozzles have proven to be a promising approach to fabricate vascularized tissue constructs with multiple cell types [ 129, 141 ]. 3. 2.	positive
we propose that structure – activity relationship research might be worthwhile based on the structures of the most effective substances.	positive
rage knock - out lupus mice exhibited a delay in apoptosis of cd3 + b220 + cd4 − cd8 − autoreactive t cells, and an increase in these pathogenic t cells was thought to exacerbate the disease [ 85 ]. 5.	positive
questions probed financial concerns ( e. g., “ losing my job ” and “ not being able to pay for basic needs ” ), concerns about health ( e. g., “ a relative ( e. g., grandparent ) or close family friend will get covid - 19 ” and “ i will be unable to access medical care for myself or my family ” ), and concerns about life disruptions ( e. g., “ ongoing need for social distancing ” and “ decreased productivity at work ” ).	negative
hese data indicated that the cell cycle was arrested in the g2 / m phase following the doxorubicin and atz - 502 combination treatment.	negative
hese observations support previous evidence of the mirna contribution to cellular differentiation during embryonic development through the regulation of transcription factor ( tf ) genes in both se and ze [ 50 ].	positive
it is tempting to speculate that the systemic inflammation observed in diabetic patients limits the migration of tregs and increases the infiltration of th17 cells in the diabetic wound and thus represents one of the mechanisms of increased neutrophilic inflammation and a prolonged inflammatory phase.	positive
itchell h. m. morris m. j. changes in gut microbiota in rats fed a high fat diet correlate with obesity - associated metabolic parameters plos one 2015 10 e0126931 10. 1371 / journal. pone. 0126931 25992554117.	positive
his study also emphasizes the reduced number of detailed bibliographic reviews on this subject that might provide an overview of the actual status and the research trends that will foster new ideas [ 17 ].	negative
a comparative study of natural, formaldehyde - treated and copolymer - grafted orange peel for pb ( ii ) adsorption under batch and continuous mode j.	negative
predominance of m2 macrophages in gliomas leads to the suppression of local and systemic immunity cancer immunol.	positive
he brain slices were placed onto cell culture inserts ( pore size 0. 4 µm ; greiner bioone, frickenhausen, germany ) and subsequently transferred into six - well culture dishes ( greinerbioone ) containing 1. 2 ml culture medium ( mem - hbss, 2 : 1, 25 % horse serum, 2 % l - glutamine, 2. 64 mg / ml glucose, 100 u / ml penicillin, 0. 1 mg / ml streptomycin, 10 µg / ml insulin - transferrin - sodium selenite supplement, and 0. 8 µg / ml vitamin c – ph was adjusted to 7. 4 with 37 % hcl and the medium was stored at 4 °c for up to 2 weeks ).	negative
in addition, cvd - provoked death is two to three times more likely if patients have a body mass index ( bmi ) ≥ 35 kg / m2 [ 7 ], and a 30 % increased risk of cvd associated mortality with each 5 kg / m2 increase in bmi [ 8 ]. obesity is associated with a chronic inflammation that persists in the visceral adipose tissue ( vat ) [ 9 ].	positive
he current level of healthcare resources is one of the key factors affecting the mortality rate.	negative
he wavelet method provided some filtering of high frequency noise as expected from body surface signals.	negative
several experiments were carried out to investigate the performance of the proposed method.	negative
his peculiar metabolic behavior is observed in activated immune cells in the tumor microenvironment, as demonstrated by warburg [ 39 ]. therefore, it seems that most metabolic abnormalities in cancer patients are precipitated by the use of glucose as the primary energy source by both the tumor and the activated immune cells [ 31, 40 ].	positive
hese data suggest that there are some tendencies of sensitivity to 5 - ala pdt in cells of different origins and classifications. several potential mechanisms may contribute to the differences in the sensitivity of each origin and classification to 5 - ala pdt.	positive
versely, promotion of the hypermethylation of the o - 6 - methylguanine dna methyltransferase ( mgmt ) gene is a distinctive feature of lung cancer [ 69 ], while in ipf fibroblasts, mgmt is hypomethylated [ 70 ], demonstrating, however, the existence of disease - specific methylation patterns.	positive
wang y. zhao t. impacts of urbanization - related factors on co2 emissions : evidence from china ’ s three regions with varied urbanizati on levels atmos.	negative
in the control sample, represented by cells incubated with bare nsts - peg, a very low red fluorescence signal, very close to the fluorescence values of the background, was observed.	negative
r findings highlight a number of social - ecological factors impacting children ’ s health behaviours.	negative
st of the previous research has studied retrospectively the exposure to traumatic events and its impact on adult ’ s health, and childhood has been scarcely explored.	negative
study ), we similarly observed the significant negative effects of basophil count and myeloid wbc count.	negative
instrumented tests of spinal flexibility ( such as radiographic assessments ) and repositioning ability could lead to different results, and therefore the outcomes reported in the present study need to be viewed with caution. finally, a major limitation pertaining to our second exploratory aim is in the fact that the origins and / or mechanisms of pain could not be determined with absolute certainty.	positive
raditionally used as a dietary laxative ; has anti - oxidant and anti - inflammatory properties [ 84 ] “ polyphenols ” naturally occurring organic compounds characterized by multiples of phenol units, used for improving cognitive performance and symptoms of depression [ 85, 86 ] “ potassium ” given as potassium chloride used in the treatment of hypokalemia “ prebiotics ( several ) ” non - digestible fiber, promoting growth of microorganisms ; did not differ from placebo in trials for depression and anxiety in a recent meta - analysis [ 87 ], use of prebiotics still lacks sufficiently robust evidence for psychiatric disorders [ 88 ] “ propolis ” mixture of bees wax and saliva produced by honey bees ; used in traditional medicine “ pycnogenol ” chemical compound found in the bark of european pine trees / [ pinus pinaster ] ; nutritional supplement used in alternative medicine for the treatment of attention deficit hyperactivity disorder ( adhd ) ; “ red clover ” [ trifolium pratense ], a herb containing phytoestrogens, shown to increase cognitive function in postmenopausal women [ 89 ] “ rose root ” [ rhodiola rosea ], adaptogen traditionally used for the reduction of stress - related syndromes, such as fatigue and burnout [ 90 ] “ s - adenosyl - l - methionine ( same ) ” co - substrate involved in methyl group transfers, transsulfuration, and aminopropylation, used as an add - on therapy for depression [ 91 ] “ saffron ” [ crocus sativus ], used for symptoms of depression and anxiety [ 92, 93 ] “ salt ( sodiumchloride, nacl ) ” used as saline solution for a number of indications in clinical medicine “ seaweed oil ” oil from macroalgae rich in phytosterols, carotenoids, and polysaccharides ; extracts used in diet pills to lose weight ; compounds cross the blood – brain barrier and exert neuro - protective functions [ 94, 95 ] “ silibinum ” [ silybum marianum ] active compound from the milk thistle ; traditionally used for hepatic disorders ; plant - based intervention used for obsessive compulsive disorder and anxiety disorder [ 96 ] “ sip foods ” used as additional calorie sources in the treatment of anorexia nervosa “ soy products ” products mad	positive
[ 159 ] 83 patients severe / critical patients were older and had more underlying diseases than others.	negative
is of great importance to leishmaniasis control programs, in particular to design adequate interventions.	negative
herefore, in order to comply with the available guidelines recommending surgery within two days, it was necessary to introduce a corrective action, which resulted in the introduction of the dtap. during the analysis phase, a more detailed description of the starting process was provided, with a specific focus on the actions and procedures taken during the preoperative management of elderly patients undergoing femur surgery. the starting preoperative process can be summarized in the following steps : assignment of the yellow code in the triage phase ; clinical evaluation and physical examination by the emergency room doctor ; execution of instrumental tests as required ( x - ray ) ; hospitalization if femur fracture is confirmed ; performing routine blood chemistry, cbc ( cell blood count ), d - dimer, chest, hip and lower limb x - ray, ecg ; orthopedic, cardiological, pneumological, geriatric and internist consultancies ; execution of additional instrumental tests as required by consultancy ; drug therapy, such as thrombosis prophylaxis and electrolyte balanceclinical anesthetic evaluation. within these processes, four major causes of prolonged los were identified, and these are represented in the ishikawa diagram ( figure 2 ), along with related secondary causes. after the description and discussion of the initial preoperative process, two main organizational reasons for prolonged preoperative los were identified : the lack of a coordinated multidisciplinary assessment, and the waiting time for consultancy and examinations.	positive
he results show that only compounds 10 and 13 exhibited moderate antibacterial activities against gram - positive bacteria, while the other tested compounds displayed mic values of more than 128 µg / ml.	negative
( 2 ) although jet travel dispersed the first sars coronavirus in 2003, it only provided 1 – 3 cases in many countries, whereas > 7500 out of ~ 8100 total cases occurred in china or nearby [ 3 ].	negative
he mrna levels of the above related genes were tested to demonstrate that oe - me could mediate inflammatory responses in transcriptional regulation.	positive
in the first phase, a set of seven biosorbents was used for the study : ( 1 ) fomitopsis pinicola, ( 2 ) a mixture of scots pine cones ( pinus sylvestris ) and norway spruce ( picea abies ), ( 3 ) peach stones ( prunus persica ), ( 4 ) apricot stones ( prunus armeniaca ), ( 5 ) walnut shells ( juglans regia ), ( 6 ) orange peel ( citrus sinensis ), and ( 7 ) merino sheep wool, which were studied in simple static batch systems. the adsorption data in the study of biosorption equilibrium were described by using two models : langmuir and freundlich adsorption isotherms. based on the langmuir model, which was practically applicable to describe the adsorption data of all biosorbents, it was found that, for concentrations of cr ( vi ) that are lower than 100 mg · l−1, fomitopsis pinicola will show the highest sorption efficiency of all the studied biosorbents.	negative
in 2016, the world health organisation estimated that 17. 9 million people died from cardiovascular disease, corresponding to 31 % of deaths worldwide [ 1, 2 ].	negative
from these results, the size and electron - donating group of the para - substituted benzene ring may affect anticancer properties.	positive
another objective of the current study was to assess the potential effect of the practices at the outlets of the informal market on cross - contamination of carcass, cloacal swabs, and carcass drips by salmonella.	negative
sefulness of speckle myocardial imaging modalities for differential diagnosis of left ventricular non - compaction of the myocardium int.	positive
for microstructural investigations, the jeol 2100 transmission electron microscope ( tem ) equipped with jeol energy dispersive spectroscopy ( eds ) detector ( akishima, tokyo, japan ) has been used.	negative
vergaro p. tiscornia g. barragan m. garcia d. rodriguez a. santalo j. vassena r. vaginal microbiota profile at the time of embryo transfer does not affect live birth rate in ivf cycles with donated oocytes reprod.	positive
